method,K,actual_K,seed,classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
Consensus,4,4,42,DT,0.940557303605347,0.7482204656418215,0.756903541074373,0.7206967719928399,0.7349083031471584,0.009887311059451004,0.2430964589256269,0.032602700000097684,6.269658693112462e-05
Consensus,4,4,42,RF,0.948867826834571,0.7494599273511892,0.7520827260303733,0.7254421701222082,0.7347511153082922,0.009064236727838102,0.2479172739696267,1.2158251000000746,0.002808460499949805
Consensus,4,4,42,XGB,0.940577904803238,0.7466994848260358,0.755348716248798,0.7197878082184112,0.7370577630373928,0.009882146693948806,0.24465128375120204,2.1536635000002207,0.0012468217158598314
Consensus,4,4,42,LGBM,0.4212326932770051,0.08298021584680515,0.08778086419203189,0.08183858054258325,0.09693814801666667,0.106604407319615,0.9122191358079681,1.2771439000002829,0.001635921484715091
Consensus,4,4,42,KNN,0.09855887753686585,0.5055624036521175,0.4936252226194823,0.3381922639831255,0.39234971301424404,0.09292877461690749,0.5063747773805176,0.08262379999996483,0.18686175524952894
Consensus,4,4,42,MLP,0.9384848230975137,0.7189114345927563,0.7414888868155651,0.7001313902689263,0.7247893128941734,0.010127684711548323,0.2585111131844348,35.31153250000034,0.002012684432223639
Consensus,4,4,52,DT,0.9411245232539455,0.7568214151751546,0.7562618343227954,0.7230100723461124,0.7376120893436384,0.009831656861962506,0.24373816567720463,0.031026900000142632,5.66234911340095e-05
Consensus,4,4,52,RF,0.948944737973364,0.7424008907675221,0.7535314407856569,0.7250704242437339,0.7353158680862121,0.009054319225822165,0.24646855921434296,1.135986799999955,0.002696051849094512
Consensus,4,4,52,XGB,0.9405037404908304,0.7502314837142028,0.7566167525005871,0.719748719175301,0.738305487553138,0.009894754120716321,0.2433832474994128,1.6068375999998352,0.001117285091736849
Consensus,4,4,52,LGBM,0.06405461789584858,0.09246918349283025,0.19035049469859394,0.10584089513194661,0.18196061795171467,0.10919414662037,0.809649505301406,0.9654736000002231,0.001337358486937795
Consensus,4,4,52,KNN,0.09883768041499053,0.4754669917082886,0.4939634450016824,0.3384172566860002,0.3947032137496839,0.09289843032443756,0.5060365549983175,0.08362310000029538,0.17793838250381477
Consensus,4,4,52,MLP,0.9431365735812985,0.7396965880778378,0.7438994005005727,0.7149842171099675,0.723972123156921,0.009666306895816549,0.25610059949942726,61.3662261999998,0.002273429399008636
Consensus,4,4,62,DT,0.9402867412063787,0.7563984909790458,0.7560114828066629,0.7242319538109605,0.7363251717387616,0.009914494642780628,0.24398851719333697,0.03143790000012814,5.552462323835885e-05
Consensus,4,4,62,RF,0.948442068744824,0.7527795167314554,0.751921832542735,0.7277846815316329,0.7356174175039791,0.00910684985033698,0.24807816745726496,1.1388720999993893,0.002690494057928257
Consensus,4,4,62,XGB,0.9399227867103046,0.7479358268373317,0.7560205960368229,0.7200571375178224,0.7370522659210467,0.009945486546793648,0.24397940396317702,1.5813576999998986,0.001106568485936368
Consensus,4,4,62,LGBM,0.9396412370057944,0.7489920042584584,0.7557525331757143,0.7204486567342644,0.7403688891025949,0.009974497270479802,0.2442474668242856,1.04876349999995,0.0028981769313287118
Consensus,4,4,62,KNN,0.10735833586270263,0.4937111199735515,0.4972778852827998,0.34351158944581006,0.39479535634698265,0.09203939870374682,0.5027221147172,0.08308279999982915,0.1791977977319455
Consensus,4,4,62,MLP,0.9423523546482483,0.711206942799707,0.738616419144544,0.6964238353492611,0.7219430155009181,0.009743422763928405,0.26138358085545593,27.12477729999955,0.001453245444044371
Consensus,4,4,72,DT,0.9403238233625825,0.7547924111941015,0.7558307418822254,0.7232482106004394,0.7362189172119714,0.009910692212819507,0.24416925811777457,0.031436199999916425,5.791532358361064e-05
Consensus,4,4,72,RF,0.9484269611997039,0.7528154257096683,0.7518923038880938,0.7277245636120616,0.735421504057886,0.009108388432802431,0.24810769611190614,1.1813530999997965,0.002745622314118914
Consensus,4,4,72,XGB,0.940767435823835,0.7497253206546975,0.7552709660985734,0.7212103305731505,0.7373680361177757,0.009863659641927949,0.2447290339014266,1.6527507999999216,0.0011165900073204038
Consensus,4,4,72,LGBM,0.3560999460248615,0.09542022674679994,0.14403506457273432,0.09144202704230228,0.12023795468294504,0.08352199895559576,0.8559649354272656,0.9636571000000913,0.0016993727621950438
Consensus,4,4,72,KNN,0.0995133997058149,0.4749764939740461,0.4941351328709477,0.33877645803615397,0.3948071660378195,0.09283056841791282,0.5058648671290522,0.08247430000028544,0.2419470046544968
Consensus,4,4,72,MLP,0.9370496063111083,0.7408348307906352,0.7465733014201485,0.713339529821924,0.7251249340584345,0.010260081724293345,0.2534266985798514,52.204169999999976,0.002007577532608685
Consensus,4,4,82,DT,0.9398239009604279,0.7546688837997572,0.7554959002805314,0.7228135805614612,0.7368052209252562,0.009961660229535886,0.2445040997194686,0.028602200000023004,5.63276579311994e-05
Consensus,4,4,82,RF,0.9487483398868033,0.7525339355434084,0.7524201905916916,0.7267068553825384,0.7349199750116229,0.009076254088703755,0.2475798094083083,1.145167599999695,0.002684902343454526
Consensus,4,4,82,XGB,0.9438754698789885,0.7456059098671363,0.7486025834615602,0.7191625036235535,0.7347240422583637,0.009571460278829087,0.25139741653843983,1.6000571999993554,0.0010644048382590031
Consensus,4,4,82,LGBM,0.9389737581941264,0.747136647649679,0.7559723484951748,0.7189869917222087,0.7364802388858631,0.01004084121384315,0.24402765150482514,1.0412979000002451,0.0031278029646505975
