FS_Method,K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
Consensus,4,MLP,0.9410 ± 0.0030,0.7306 ± 0.0144,0.7429 ± 0.0030,0.7084 ± 0.0094,0.7233 ± 0.0020,0.0099 ± 0.0003,0.2571 ± 0.0030,42.6963 ± 13.8134,0.0018 ± 0.0004
Consensus,8,DT,0.9624 ± 0.0004,0.8075 ± 0.0008,0.8620 ± 0.0002,0.8126 ± 0.0006,0.8483 ± 0.0008,0.0039 ± 0.0000,0.1380 ± 0.0002,0.0541 ± 0.0013,0.0001 ± 0.0000
Consensus,8,RF,0.9702 ± 0.0004,0.8069 ± 0.0022,0.8545 ± 0.0022,0.8160 ± 0.0012,0.8483 ± 0.0003,0.0031 ± 0.0000,0.1455 ± 0.0022,1.2087 ± 0.0013,0.0027 ± 0.0000
Consensus,8,XGB,0.9634 ± 0.0014,0.8073 ± 0.0013,0.8591 ± 0.0037,0.8124 ± 0.0009,0.8525 ± 0.0015,0.0038 ± 0.0001,0.1409 ± 0.0037,1.7360 ± 0.0442,0.0010 ± 0.0000
Consensus,8,LGBM,0.9623 ± 0.0005,0.8074 ± 0.0012,0.8615 ± 0.0003,0.8125 ± 0.0008,0.8528 ± 0.0011,0.0039 ± 0.0000,0.1385 ± 0.0003,1.2308 ± 0.0496,0.0030 ± 0.0000
Consensus,8,KNN,0.7597 ± 0.0036,0.7303 ± 0.0061,0.6942 ± 0.0015,0.5944 ± 0.0022,0.5737 ± 0.0011,0.0244 ± 0.0004,0.3058 ± 0.0015,0.1444 ± 0.0018,0.0835 ± 0.0110
Consensus,8,MLP,0.9632 ± 0.0005,0.7973 ± 0.0006,0.8452 ± 0.0004,0.8048 ± 0.0005,0.8455 ± 0.0008,0.0042 ± 0.0001,0.1548 ± 0.0004,45.8303 ± 16.2905,0.0016 ± 0.0004
Consensus,16,DT,0.9939 ± 0.0003,0.8895 ± 0.0006,0.8981 ± 0.0004,0.8905 ± 0.0006,0.8954 ± 0.0001,0.0006 ± 0.0000,0.1019 ± 0.0004,0.1107 ± 0.0067,0.0001 ± 0.0000
Consensus,16,RF,0.9940 ± 0.0003,0.8855 ± 0.0083,0.8979 ± 0.0006,0.8883 ± 0.0055,0.8989 ± 0.0002,0.0006 ± 0.0000,0.1021 ± 0.0006,1.3156 ± 0.0180,0.0028 ± 0.0001
Consensus,16,XGB,0.8784 ± 0.1059,0.8315 ± 0.0530,0.8520 ± 0.0425,0.7977 ± 0.0849,0.8983 ± 0.0011,0.0123 ± 0.0107,0.1480 ± 0.0425,1.9741 ± 0.1858,0.0010 ± 0.0000
Consensus,16,LGBM,0.9941 ± 0.0003,0.8897 ± 0.0004,0.8982 ± 0.0004,0.8907 ± 0.0005,0.8986 ± 0.0002,0.0006 ± 0.0000,0.1018 ± 0.0004,1.3325 ± 0.1308,0.0027 ± 0.0001
Consensus,16,KNN,0.9629 ± 0.0000,0.8380 ± 0.0027,0.7759 ± 0.0002,0.7560 ± 0.0002,0.7291 ± 0.0002,0.0039 ± 0.0001,0.2241 ± 0.0002,0.0066 ± 0.0003,0.0612 ± 0.0001
Consensus,16,MLP,0.9923 ± 0.0005,0.8596 ± 0.0167,0.8923 ± 0.0017,0.8712 ± 0.0103,0.8966 ± 0.0007,0.0010 ± 0.0001,0.1077 ± 0.0017,21.5204 ± 7.3137,0.0006 ± 0.0003
