FE_Method,K,actual_K,Classifier,accuracy,precision,recall,f1,pr_auc,fpr,fnr,train_time_s,inference_ms
LDA,8,8,LGBM,0.9942 ± 0.0003,0.8920 ± 0.0012,0.8979 ± 0.0003,0.8911 ± 0.0006,0.8992 ± 0.0001,0.0006 ± 0.0000,0.1021 ± 0.0003,1.1969 ± 0.0536,0.0025 ± 0.0001
LDA,8,8,KNN,0.9633 ± 0.0000,0.8331 ± 0.0094,0.7766 ± 0.0002,0.7541 ± 0.0055,0.7298 ± 0.0006,0.0038 ± 0.0000,0.2234 ± 0.0002,0.1325 ± 0.0014,0.0231 ± 0.0025
LDA,8,8,MLP,0.9940 ± 0.0003,0.8918 ± 0.0013,0.8978 ± 0.0006,0.8913 ± 0.0012,0.8984 ± 0.0002,0.0006 ± 0.0000,0.1022 ± 0.0006,29.7124 ± 11.5612,0.0009 ± 0.0003
LDA,16,9,DT,0.9941 ± 0.0004,0.8912 ± 0.0015,0.8944 ± 0.0072,0.8892 ± 0.0042,0.8926 ± 0.0084,0.0006 ± 0.0000,0.1056 ± 0.0072,0.4313 ± 0.0590,0.0001 ± 0.0000
LDA,16,9,RF,0.9941 ± 0.0003,0.8889 ± 0.0019,0.8976 ± 0.0003,0.8904 ± 0.0009,0.8990 ± 0.0001,0.0006 ± 0.0000,0.1024 ± 0.0003,2.0522 ± 0.0482,0.0034 ± 0.0003
LDA,16,9,XGB,0.9941 ± 0.0003,0.8899 ± 0.0012,0.8974 ± 0.0003,0.8908 ± 0.0007,0.8991 ± 0.0001,0.0006 ± 0.0000,0.1026 ± 0.0003,2.0350 ± 0.0881,0.0009 ± 0.0001
LDA,16,9,LGBM,0.9942 ± 0.0003,0.8932 ± 0.0015,0.8980 ± 0.0004,0.8914 ± 0.0005,0.8992 ± 0.0001,0.0006 ± 0.0000,0.1020 ± 0.0004,1.2540 ± 0.0651,0.0026 ± 0.0001
LDA,16,9,KNN,0.9634 ± 0.0000,0.8410 ± 0.0019,0.7766 ± 0.0002,0.7569 ± 0.0002,0.7283 ± 0.0004,0.0038 ± 0.0001,0.2234 ± 0.0002,0.0082 ± 0.0006,0.0653 ± 0.0025
LDA,16,9,MLP,0.9940 ± 0.0004,0.8860 ± 0.0069,0.8974 ± 0.0005,0.8874 ± 0.0047,0.8979 ± 0.0008,0.0006 ± 0.0000,0.1026 ± 0.0005,18.1700 ± 7.7006,0.0009 ± 0.0003
KernelPCA,4,4,DT,0.9915 ± 0.0007,0.8552 ± 0.0078,0.8683 ± 0.0223,0.8535 ± 0.0111,0.8592 ± 0.0117,0.0009 ± 0.0001,0.1317 ± 0.0223,0.2539 ± 0.0758,0.0001 ± 0.0000
KernelPCA,4,4,RF,0.9859 ± 0.0018,0.8091 ± 0.0137,0.8686 ± 0.0148,0.8293 ± 0.0021,0.8656 ± 0.0062,0.0014 ± 0.0002,0.1314 ± 0.0148,2.0604 ± 0.0979,0.0031 ± 0.0004
KernelPCA,4,4,XGB,0.9888 ± 0.0005,0.8387 ± 0.0064,0.8460 ± 0.0010,0.8285 ± 0.0023,0.8698 ± 0.0032,0.0011 ± 0.0000,0.1540 ± 0.0010,1.9086 ± 0.1243,0.0011 ± 0.0000
KernelPCA,4,4,LGBM,0.5452 ± 0.3381,0.3563 ± 0.2720,0.3840 ± 0.2791,0.3209 ± 0.2894,0.3432 ± 0.3028,0.0463 ± 0.0346,0.6160 ± 0.2791,1.2712 ± 0.1432,0.0018 ± 0.0008
KernelPCA,4,4,KNN,0.9595 ± 0.0001,0.7955 ± 0.0110,0.7320 ± 0.0002,0.7128 ± 0.0048,0.6695 ± 0.0031,0.0042 ± 0.0000,0.2680 ± 0.0002,0.1095 ± 0.0303,0.0223 ± 0.0026
KernelPCA,4,4,MLP,0.9761 ± 0.0009,0.7047 ± 0.0373,0.8029 ± 0.0350,0.7299 ± 0.0319,0.7815 ± 0.0059,0.0025 ± 0.0001,0.1971 ± 0.0350,129.4738 ± 67.2951,0.0027 ± 0.0007
KernelPCA,8,8,DT,0.9912 ± 0.0005,0.8521 ± 0.0077,0.8106 ± 0.0194,0.8158 ± 0.0094,0.8023 ± 0.0120,0.0009 ± 0.0001,0.1894 ± 0.0194,0.4501 ± 0.0296,0.0001 ± 0.0000
