Classifier,Best_FS,K,F1,train_time_s
DT,RFE,16,0.8907383559272304,0.10645334000000728
RF,RFE,16,0.890813770297183,1.3611297199997352
XGB,Consensus,8,0.8123798431928906,1.7360276600000362
LGBM,RFE,16,0.8910146555803878,1.321958080001059
KNN,Consensus,16,0.7560106979355165,0.006557280000197299
MLP,RFE,16,0.881170445162005,28.26795437999972
