Classifier,Best_FE,K,F1,train_time_s
DT,PCA,8,0.8930515248554002,0.3300785800005542
RF,PCA,8,0.8929516877081344,1.948130540001148
XGB,PCA,8,0.8924373776409469,1.834929299999203
LGBM,PCA,8,0.892521910103814,1.3516968200026895
KNN,AutoEncoder,8,0.7574268631345651,0.19250333999807476
MLP,LDA,8,0.891297084889454,29.712430239998504
